HDIRegion,HDIProvince,HDIValue2015,HDIImmunisationRate2015,HDISatisfactionWithHealth2015,HDIExpYearsOfSchooling2015,HDIMeanYearsOfSchooling2015,HDILivingStd2015,HDIValue2013,HDIChangeInRank
Mastung,Balochistan,0.459,75.3,85,9.1,4,23.9,0.485,-1
Tank,Khyber Pakhtunkhwa,0.459,66.1,70.1,7.8,2.8,35.4,0.449,2
Kamber Shahdadkot,Sindh,0.456,61.8,62.2,6.2,2.3,47.5,0.483,-2
Gawadar,Balochistan,0.443,51.4,74,10.6,2.7,28.2,0.442,1
Noshki,Balochistan,0.441,52.7,63.5,8.2,2.3,37.9,0.395,7
Sibi,Balochistan,0.441,60.9,38.3,6.6,3.5,43.7,0.618,-34
Jacobabad,Sindh,0.44,65,68.5,5.9,2.5,39.5,0.494,-10
Shangla,Khyber Pakhtunkhwa,0.438,48.7,47.4,6.7,1.7,56.5,0.411,3
Mirpurkhas,Sindh,0.43,63.9,31.7,6.6,3.5,42,0.426,-1
Killa Saifullah,Balochistan,0.422,50,100,6.6,2.5,29,0.194,23
Lasbela,Balochistan,0.416,49.1,65.4,7.1,2.6,34.1,0.413,-1
Khuzdar,Balochistan,0.412,60.5,90.3,8.3,2.6,22.7,0.361,3
Badin,Sindh,0.412,73.1,60.2,5.8,2.9,31.1,0.33,10
Kalat,Balochistan,0.405,83.5,89,9.1,3.1,16.9,0.343,7
Loralai,Balochistan,0.381,44.5,99.9,8.7,2.9,17.6,0.361,1
Thatta,Sindh,0.377,50.6,74.1,5.9,2.5,26.8,0.314,8
Tando Muhammad Khan,Sindh,0.377,62.5,63.6,4.7,2.3,31.4,0.456,-14
Upper Dir,Khyber Pakhtunkhwa,0.375,77.4,31.5,8.1,1.8,27.2,0.351,1
Musakhail,Balochistan,0.368,38.3,97.9,9.1,2.6,16.8,0.125,18
Jaffarabad,Balochistan,0.345,44.1,51.1,5.7,2,29.7,0.358,-3
Bolan/Kachhi,Balochistan,0.345,59,62.8,6.4,2.6,19.5,0.332,1
Sujawal,Sindh,0.326,47.7,61.3,5.4,2.4,21.2,,
Umerkot,Sindh,0.322,67.1,18,6.3,2.3,24.4,0.39,-10
Naseerabad,Balochistan,0.311,29.8,78.2,5.1,1.7,21.9,0.282,3
Ziarat,Balochistan,0.301,33.2,67.3,7.4,2,15.6,0.437,-19
Sherani,Balochistan,0.295,55.3,88.6,4.9,2.1,13.3,0.347,-7
Dera Bugti,Balochistan,0.271,31.6,59,4.3,2.1,17.7,0.145,7
Tor Ghar,Khyber Pakhtunkhwa,0.24,3,69.6,6.1,0.9,15.4,0.217,-1
Barkhan,Balochistan,0.237,67.6,5.7,6.8,1.2,12.7,0.213,-2
Tharparkar,Sindh,0.227,38.1,57,6.4,2.3,7.5,0.257,-6
Washuk,Balochistan,0.188,48.8,71.9,4.8,1.4,4.8,0.101,2
Jhal Magsi,Balochistan,0.183,43.9,32.9,5.5,1.7,6,0.286,-13
Kech/Turbat,Balochistan,,,,,,,,
Panjgur,Balochistan,,,,,,,,
